0.312243	0.58034	1	1	0.312243	0.58034	0.6	0.6	5.19994	0	0.287757	0.0196602	4.19994	1
0.771821	0.626031	2.83239	3.49884	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.212814	0.0230411	3.40909	2.5719
0.909241	0.701232	3.47085	3.10577	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.212126	0.0612761	2.95702	2.75933
1.14941	0.503647	5.00367	1.56591	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.216876	0.071885	2.56271	2.51297
1.47107	0.612237	5.25717	1.38302	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.208157	0.0644801	2.29231	2.3291
1.73287	0.593335	5.29997	1.05171	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.201875	0.05898	2.093	2.16693
2.04524	0.651122	5.41669	0.940496	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.191843	0.0574261	1.93952	2.035
2.27391	0.671082	5.20104	0.856597	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.186692	0.0583985	1.81426	1.9248
2.56115	0.706443	5.25718	0.780262	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.180369	0.0638993	1.71063	1.83033
2.84125	0.699262	5.2652	0.577776	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.173885	0.0665028	1.623	1.74351
3.08709	0.713658	5.23813	0.54862	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.169173	0.0697511	1.54754	1.6679
3.38408	0.641925	5.28586	0.168224	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0.16338	0.0670122	1.48191	1.59696
3.70038	0.578357	5.38887	-0.115676	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0.157044	0.0659052	1.42487	1.53594
3.98229	0.600817	5.44874	-0.0235079	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0.151338	0.0642275	1.37485	1.48091
4.26485	0.593939	5.46641	-0.0476739	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.146392	0.063459	1.33025	1.43198
4.52224	0.614876	5.32177	0.0149213	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.141902	0.0622775	1.2885	1.3874
4.70849	0.693928	5.17922	0.292016	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0.138114	0.0607721	1.25003	1.34603
4.96161	0.688052	5.03369	0.208392	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	0.134771	0.0590919	1.21525	1.3082
5.26578	0.680153	5.12751	0.135093	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	0.131184	0.0576065	1.18287	1.2739
5.52755	0.684129	5.26619	0.142975	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	0.127864	0.0564519	1.15315	1.24241
5.82916	0.692773	5.33386	0.136126	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	0.125101	0.0556273	1.126	1.21357
6.06962	0.630882	5.12922	-0.0788449	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	0.122327	0.0597785	1.10013	1.19023
6.32388	0.724759	5.11577	0.204109	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	0.119711	0.0591911	1.07597	1.16518
6.57436	0.753155	5.06506	0.252791	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.117222	0.0584994	1.05343	1.14166
6.82095	0.750074	5.05461	0.209786	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.114855	0.058905	1.03227	1.12043
7.06261	0.733506	4.87977	0.116517	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	0.112649	0.0618015	1.01338	1.10231
7.27533	0.813616	4.81637	0.331307	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	0.11106	0.0617998	0.996136	1.08312
7.57593	0.825881	5.16113	0.335955	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	0.109077	0.0626134	0.978235	1.06541
7.8314	0.8015	5.16062	0.22272	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.107198	0.0668195	0.961287	1.05082
8.07939	0.818287	4.97979	0.22213	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.105444	0.0719332	0.945341	1.03785
8.31505	0.834563	4.95519	0.238987	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.103931	0.078068	0.930228	1.02616
8.58904	0.927729	5.23703	0.484659	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.102332	0.080323	0.916081	1.01224
8.8321	0.987912	5.19993	0.585884	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.100868	0.081669	0.902461	0.99847
9.12471	1.0259	5.247	0.60164	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.0994056	0.0833184	0.889813	0.985751
9.36573	1.05603	5.20826	0.606052	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.0979775	0.0857572	0.877569	0.974216
9.64718	1.1312	5.2582	0.725515	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.0967794	0.0870483	0.86631	0.962495
9.92699	1.2663	5.27829	0.986043	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.0960488	0.0861803	0.855844	0.949773
10.1726	1.34872	5.02103	1.04514	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.0952904	0.0851095	0.844547	0.937566
10.3936	1.42653	4.96304	1.11938	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.0942166	0.084016	0.833651	0.925783
